year,Afghanistan,Albania,Algeria,American Samoa,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Cape Verde,Canada,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Democratic Republic of Congo,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,East Timor,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands,Faroe Islands,Fiji,Finland,France,French Polynesia,French Guiana,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guadeloupe,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,North Korea,South Korea,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Martinique,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Reunion,Romania,Russia,Rwanda,Samoa,Saint Helena,Saint Kitts and Nevis,Sao Tome and Principe,Saint Lucia,Saudi Arabia,Saint Pierre and Miquelon,Senegal,Saint Vincent and the Grenadines,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Taiwan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,United States Virgin Islands,Uzbekistan,Vanuatu,Venezuela,Vietnam,Western Sahara,Yemen,Zambia,Zimbabwe
2010,1182.892,12377.504,12243.156,45970.539,3560.094,33104.539,21507.703,13351.512,53389.605,68523.875,50408.578,13904.573,35531.059,141914.094,1691.533,26839.543,31465.189,70300.141,10492.445,2287.769,51318.156,24284.154,6598.983,20074.406,8901.267,16220.931,26000.848,107111.188,27853.473,509.41,199.676,1591.32,1886.151,6915.403,110485.93,46226.355,260.018,130.909,21403.439,21551.547,9474.296,1074.197,4460.019,20785.795,11786.667,464.344,1801.921,24781.908,11812.895,30146.273,49083.73,42511.805,3942.156,11327.723,8981.36,943.407,10353.473,10258.876,6082.846,28152.885,654.89,54934.047,5146.958,468.262,59130.359,65730.328,9167.494,69228.281,48062.32,18082.105,22895.383,10845.483,1036.858,14789.647,47305.836,2141.837,0,34298.055,77434.969,10297.715,63885.816,4004.347,26967.006,990.091,907.236,9713.229,922.152,4439.492,45030.289,27819.338,177121.828,5038.898,7123.851,32248.412,12151.445,39407.059,36168.523,34046.293,11996.119,46709.957,12875.821,36757.344,1622.724,2429.893,8532.009,62181.16,125379.164,10836.261,4625.693,23635.057,15851.824,2175.061,837.75,40607.305,21088.777,98832.992,18400.9,469.251,640.529,32487.746,12524.812,757.354,72549.078,25326.725,2594.655,16415.438,18887.48,4414.828,9287.713,18202.299,26631.988,54497.844,6005.15,2355.594,1386.882,8834.805,23124.062,868.669,70448.461,56732.922,54098.344,3699.92,413.755,1514.104,13107.488,16189.779,0,102078.367,82213.055,3809.427,3243.116,25191.672,2867.584,22447.141,7707.48,3603.58,29982.633,28720.541,26371.678,195586.938,15580.163,18959.768,54552.457,324.944,6500.349,7954.215,20931.088,3116.335,10594.858,91258.062,62504.328,2286.819,8740.024,22474.787,45371.336,458.273,149763.219,38080.727,42077.926,2880.25,283.123,28270.551,0,36337.699,3368.203,2604.365,25234.633,66270.922,45954.605,13451.906,7504.402,55746.93,1005.088,17276.059,1746.39,4973.945,165583.047,8150.696,17120.85,46842.559,25683.688,0,604.45,31235.119,114656.625,39533.43,83402.883,18292.451,187854.5,18637.057,2766.514,33327.812,6180.288,2586.282,3495.329,2768.134,3592.672
2011,1436.114,10854.649,12710.541,26492.09,3594.49,32616.084,21894.867,14139.787,42076.207,69714.188,47176.66,15572.064,30982.486,140596.469,1807.593,28088.297,30976.078,65134.078,8946.38,2071.188,33119.836,23369.613,6716.623,19803.189,9151.255,16629.84,26247.301,108531.148,29776.332,563.346,226.621,1623.918,6542.746,1785.731,113449.32,47423.246,279.481,180.934,22459.619,23090.885,9794.911,944.776,5186.757,22592.518,462.693,12301.996,1642.38,21703.076,10603.101,29451.955,47823.707,39629.48,2921.882,11478.59,8723.768,957.329,10805.037,10555.752,6068.424,28943.424,655.353,54965.195,5236.062,514.245,58597.516,55306.211,7085.076,64942.777,46149.176,16923.406,14898.559,0,1056.741,13820.907,45571.484,2627.783,0,33738.633,76637.781,10196.201,56198.336,4004.556,5734.478,0,896.623,10153.407,958.598,4406.682,45897.434,27072.971,176561.359,5241.937,7431.696,33107.25,12085.604,37465.398,36202.535,33284.145,12652.353,44288.176,13144.025,41151.434,1633.508,2205.633,6350.811,64597.434,64557.531,12183.774,5997.188,21346.463,15852.878,1932.633,896.828,27959.967,22161.721,94211.609,18063.021,511.37,626.806,32524.594,13070.632,804.067,68190.57,26499.41,2710.173,16788.395,19464.541,5086.256,9207.143,18659.32,21941.479,37454.199,6222.626,2590.46,1505.196,9036.284,22639.811,922.143,66766.094,55054.582,53887.789,3835.275,400.052,2095.608,14614.294,16113.007,0,101829.039,80976.867,3727.354,3521.862,24962.391,2917.431,23345.691,8431.997,3610.593,30104.609,27433.566,28760.348,217278.828,14889.343,0,56363.645,351.946,6521.698,7222.19,21851.84,22939.449,3207.423,11386.956,80184.539,66723.438,2532.413,10836.359,38368.945,564.663,151959.906,36591.309,40687.836,2918.432,278.715,27576.695,0,35552.812,3623.197,2462.639,20305.736,64644.645,42336.48,11966.39,7255.999,7819.39,56655.562,17645.639,1573.317,4697.069,162349.438,7678.843,18025.576,49801.621,24776.764,0,614.269,32400.471,119056.133,37002.133,81971.984,17861.395,17631.439,97552.562,3125.876,34709.691,6758.891,2489.957,2096.699,2998.159,3860.79
2012,1324.121,10652.809,13624.909,26916.025,3615.524,33159.371,22494.715,15057.879,52292.039,67583.031,49160.137,15823.058,35422.555,149451.375,1939.322,26331.783,33551.121,62090.016,9087.132,1909.264,35803.332,22460.117,7838.919,19624.715,8872.199,16963.494,25734.096,104173.734,28501.373,644.375,205.988,1783.722,1931.21,7142.143,112586.703,42757.977,282.513,302.571,23224.074,23873.199,10308.172,961.38,5174.505,23641.826,11703.091,413.596,1962.973,20222.289,11529.463,27326.793,47515.48,36644.371,3784.813,11020.953,9560.256,1109.922,11233.192,10739.813,6096.506,26990.076,686.761,55559.734,5162.853,557.104,60204.473,69815.625,7121.293,62886.449,45884.934,16239.225,0,10108.493,998.797,14376.836,46132.684,2631.042,0,31860.057,64041.523,10296.617,59909.613,4204.253,0,1171.232,890.101,11516.412,1037.84,4707.272,43749.898,25308.668,177259.344,5452.142,7576.405,32998.57,12596.573,36688.957,37239.395,32295.604,11797.367,43924.301,13750.912,42674.324,1575.042,2144.771,6045.368,64799.957,117201.984,13588.381,6164.582,22381.162,17291.496,2021.036,960.112,36727.043,22404.16,90375.617,17832.598,587.695,611.753,35010.121,16088.853,830.399,64067.148,0,2906.24,16868.873,19367.398,5645.075,12907.23,19704.566,21276.305,36263.168,6249.124,2700.616,1779.603,9158.613,23654.348,967.206,65277.332,57458.293,53930.219,3815.543,512.047,2033.544,14400.746,14934.357,0,111948.297,80129,3401.662,3442.585,27223.264,2741.809,23638.725,8629.544,3671.1,29201.332,25134.441,30574.373,233134.453,0,19146.699,56592.629,376.878,6256.255,8757.543,21675.412,3200.083,10486.784,93332.539,61828.691,2580.883,10656.227,24964.811,43465.02,610.724,149476.594,35105.086,39460.902,2854.352,274.605,26791.422,557.737,35236.293,3708.993,2326.128,21876.135,67522.562,44281.652,9298.453,7500.791,55064.988,1002.209,18694.713,1360.63,4791.762,157944.297,8332.082,18877.383,57716.133,23800.51,0,577.693,31779.547,123958.766,37287.375,79100.781,17839.785,108371.031,17406.166,2561.162,35796.172,6990.175,2403.526,1837.103,3116.737,4106.95
2013,1060.793,13392.774,14130.735,27255.666,3897.913,32853.875,23152.588,14838.981,50264.645,67307.039,48452.184,16039.534,32656.572,161365.531,1989.617,26676.488,30358.176,63218.379,9683.304,1889.734,35994.32,24615.076,7813.69,20242.201,8641.081,17221.439,25516.426,95693.625,26659.102,749.678,216.881,1866.119,7692.892,1763.443,114051.086,41230.707,206.793,302.861,23629.986,24600.359,10490.081,1122.832,6385.898,23739.312,484.205,12649.783,2129.461,22296.646,11073.984,24232.332,46623.125,37633.344,3836.707,11020.252,9002.167,1636.337,11416.987,10422.903,5903.089,26720.799,691.834,58774.098,5053.262,632.633,65953.414,56424.559,7502.866,62843.996,46169.375,15941.214,9214.65,0,964.192,16267.887,47361.52,2698.538,0,30079.553,64544.352,11516.319,50317.52,4409.617,1202.378,0,886.973,11227.718,1075.777,4629.147,44543.734,24057.619,181204.219,5560.02,7145.67,33801.539,13249.768,35956.301,34578.957,30816.119,12772.726,43669.051,12796.636,42177.832,1620.447,2137.157,4742.056,64390.82,116365.086,12564.967,7166.971,21775.471,15720.306,2043.126,830.952,38740.535,20941.715,84137.461,17761.412,600.29,604.72,36062.551,16413.824,830.251,59756.48,0,2568.119,17104.646,19122.215,5924.762,13035.35,20521.99,22880.111,45365.406,6330.083,2775.278,2042.981,9313.876,26976.27,1020.58,63014.336,60432.473,53827.734,3991.635,554.461,2546.136,15371.812,14327.82,0,103150.648,83183.344,3661.008,3573.091,26325.066,2730.934,23514.254,8741.407,3860.979,29303.178,27680.289,27237.188,236963.812,19494.453,0,55798.141,390.732,6016.645,8345.24,3090.176,23219.201,83337.156,10425.025,2142.207,72730.234,26212.141,9998.609,38688.062,692.696,148317.188,35936.512,38978.773,2771.765,265.801,26545.875,568.443,33871.531,3748.582,2385.017,20840.512,62550.262,44402.762,7177.317,7599.083,846.932,57184.871,18868.783,1350.635,4721.155,158654.844,8726.086,18441.619,48206.617,22917.402,0,651.414,30228.559,129486.25,36961.617,80559.258,18592.736,18389.709,98192.977,2422.626,34754.629,7304.975,4030.759,2044.897,3198.529,4085.332
2014,868.576,11809.461,15108.635,27663.885,4135.047,33313,22881.006,15185.13,50628.816,66744.195,46207.137,16140.756,31772.066,153929.594,2041.658,23147.074,30417.848,58234.559,9421.46,1940.265,46727.742,23328.471,7770.678,19855.676,8513.395,17519.043,25639.906,106339.25,28695.912,677.646,196.128,2031.747,1873.383,7489.28,113198.414,40977.293,238.238,303.739,23154.375,25071.705,10938.481,981.591,5931.768,25269.025,11673.354,434.753,2198.274,22411.174,11257.336,24039.48,45633.617,36024.77,4183.972,11281.383,8537.962,1840.639,11816.219,10063.271,6015.019,24158.016,716.541,56416.676,5096.139,697.629,58919.254,68590.719,7886.425,60391.238,43983.484,15747.379,0,9740.699,1034.743,17044.346,45327.605,2673.128,0,28344.934,60480.352,9650.67,48555.641,4562.104,0,1285.75,907.578,11144.22,1142.445,4979.008,43144.723,24145.828,178940.125,5862.708,7179.497,34628.117,12387.734,35600.855,33145.016,29214.83,12533.961,42605.559,11669.372,43718.621,1655.022,2120.318,4437.806,64335.422,109967.672,12576.968,7185.512,20261.896,14662.743,2074.063,1071.928,37137.059,20436.076,79619.141,18849.732,635.025,605.315,35862.223,21157.406,899.235,59933.559,0,2994.487,17609.402,18782.85,6181.367,12760.212,19699.537,20434.42,42027.945,6336.756,2987.178,2368.495,9735.818,28475.137,1099.445,59946.082,68428.609,55530.719,4173.799,506.644,2707.865,15776.486,13282.118,0,105662.383,78766.812,3725.951,3767.683,26454.377,2816.402,21944.449,8856.475,3993.655,28234.873,28032.568,26354.953,235490.578,0,19248.842,55846.121,403.43,6062.045,7872.981,21579.867,3249.416,10408.478,95158.547,63525.68,2429.892,8768.699,25665.121,44650.082,743,148692.516,33419.594,39934.504,2543.96,256.698,26433.637,582.462,33449.562,4043.941,2378.84,20081.727,61633.875,42067.453,6826.982,7586.009,55922.867,1062.155,19398.961,1142.697,5144.916,157744.703,9507.342,18618.826,50096.188,23641.734,0,728.951,26764.613,127985.82,34675.379,80724.133,19071.291,57181.285,16608.516,2701.039,33558.422,7980.199,2309.894,1432.552,3323.385,3940.886
2015,970.08,11824.314,15616.312,28115.486,4159.578,33830.762,23046.873,14124.947,51778.613,67223.109,45864.832,17420.43,30096.48,149472.797,2439.447,24569.877,27520.088,58448.711,10197.744,2083.499,39425.172,24203.82,8018.658,20149.869,10171.935,17140.15,25398.59,116170.312,30739.168,836.03,193.754,2299.249,6820.054,1746.755,112484.586,42380.68,297.004,298.346,23180.021,25210.303,10259.04,1036.378,5841.056,23834.23,460.754,12802.764,2129.532,21392.176,11280.011,24580.83,44728.719,35044.344,3626.965,11610.774,9354.642,1773.346,11610.723,9988.438,6200.172,20745.453,707.843,52200.957,5016.504,715.425,63076.344,55487.547,8231.743,60022.977,44229.48,16278.416,9102.298,0,1028.859,18088.293,46066.906,2847.021,0,28845.504,64502.316,9958.878,51455.406,5002.62,1194.914,0,914.877,11248.948,1284.612,5439.805,44115.941,25501.146,184878.391,5994.315,7202.464,33449.172,11841.137,37274.281,34348.75,30129.141,12881.866,42152.383,11497.137,35653.344,1911.903,2253.544,3908.553,64899.633,113740.477,11097.164,10405.498,20957.162,15864.785,2002.84,1054.184,29102.475,21632.049,75576.625,21063.752,676.742,567.385,35874.363,15149.077,952.776,64130.957,0,2955.335,18247.52,18355.58,6471.856,11617.373,19182.596,21034.895,47224.633,6368.394,3077.791,2192.525,10013.897,29667.088,979.096,60209.23,69502.609,54937.031,4501.891,514.949,2495.833,16946.316,13983.399,0,106003.852,80454.766,3867.193,4085.648,28399.344,3170.52,22191.486,9171.356,4307.64,28610.195,27931.508,26833.928,245723.766,20194.619,0,54818.855,436.214,6971.546,7114.407,3131.022,23235.219,84816.25,15259.877,2183.928,62718.688,26607.537,8642.675,45695.203,592.628,155468.984,33734.289,35905.984,2266.201,257.545,25372.062,714.991,33881.086,4279.023,2384.243,18293.592,63157.691,40610.039,6352.633,7419.728,838.51,55963.73,19595.387,868.264,5404.378,151786.812,9709.658,19951.004,55978.691,23337.617,0,707.743,22306.594,137692.203,34977.094,79318.57,19596.402,18929.893,98710.719,2484.069,31749.41,8964.749,3289.451,1996.59,3115.068,3860.92
2016,862.791,13823.748,15295.143,28760.439,3661.551,34089.41,22726.455,14289.046,50017.652,66396.188,46889.66,17059.744,31247.096,144113.938,2419.747,25016.707,28099.965,62694.617,10002.819,2467.009,50238.902,24692.543,8176.835,20852.678,10964.355,16591.764,25417.586,120051.602,29411.801,780.077,208.43,2828.744,1600.295,7495.767,110318.586,40911.793,307.305,286.591,23993.93,25164.398,11435.303,1189.054,5449.973,25052.822,11618.479,444.57,2356.63,22428.08,8800.3,26494.055,44110.242,35326.188,3409.709,12128.221,9835.123,1709.139,11399.546,10324.906,6231.595,19728.445,715.034,53774.238,5267.826,807.24,57671.355,76055.422,8094.508,60795.297,43217.41,16079.959,0,10052.396,1008.469,19119.283,46658.379,2814.998,0,28558.139,63640.645,10175.044,48375.195,5357.698,0,1261.208,928.796,12634.438,1314.938,5242.269,45058.672,26030.773,183038.078,6189.113,7243.88,34628.828,12542.049,38516.898,34387.754,30305.607,13296.951,41699.695,11675.889,39346.422,1966.588,2381.142,4500.188,66408.734,109426.57,11131.658,17431.762,22548.604,16684.846,2142.459,1187.845,28077.625,22404.107,72784.555,20401.303,691.369,581.612,37184.793,15410.746,1172.19,69591.945,0,2687.668,18958.602,18543.551,6817.641,11798.2,19692.092,21028.148,26808.178,6361.196,3067.182,2501.596,9860.743,31831.389,1426.13,60966.062,73955.188,54773.031,4451.653,462.736,2488.906,16205.726,14497.308,0,106657.969,76962.32,2539.286,4188.031,29494.584,3283.417,24718.906,9602.029,4620.867,29851.602,29988.789,25580.963,224482.281,0,19693.322,55724.008,429.518,7356.927,7150.659,21838.453,3250.473,10461.293,93054.375,66357.25,2509.597,9080.616,26359.041,50241.48,591.517,162248.219,34015.234,38209.27,2124.666,253.762,26274.004,698.385,34060.691,4708.024,2684.055,18815.174,61225.848,37770.078,6267.527,7461.84,56948.598,931.573,19906.965,1134.572,5738.483,133239,9585.773,20602.953,59486.492,23060,0,765.058,23419.848,141902.906,34171.621,78625.453,19814.26,117629.797,16748.164,2445.868,28953.871,9651.152,2236.145,1288.877,2846.699,3227.68
2017,829.312,12802.36,15164,29360.256,3370.896,32233.041,22503.818,15302.439,51509.809,65133.145,47464.48,16576.758,36977.281,143466.25,2489.824,23670.777,28620.061,62897.684,10896.961,2540.225,49395.461,24327.346,7938.303,20939.965,9879.757,16608.686,23629.582,119337.055,30376.139,878.578,246.9,2950.3,6636.519,1720.249,110470.539,46465.98,301.667,446.255,24517.238,25987.383,11368.834,1492.484,3985.205,27209.463,538.16,13012.45,2288.732,22608.02,9358.279,26971.416,46583.156,35380.039,3036.137,11274.687,9591.366,1717.026,11685.353,10519.223,6173.114,21365.682,778.286,59568.504,5553.849,794.977,64413.23,46956.242,8787.309,59405.816,42948.914,15560.707,11006.094,0,998.23,19005.781,47057.949,2757.957,0,30133.779,63297.488,10974.274,44338.289,5708.092,1131.156,0,733.632,12459.088,1287.264,5456.188,48159.262,27509.971,186955.547,6351.181,7439.383,35445.574,14320.764,38224.621,34381.566,30716.617,11942.507,42275.172,11783.324,41765.398,1939.658,2644.316,3657.935,66893.758,107996.656,11335.21,17422.662,25054.545,18256.084,2253.617,1007.256,31206.035,23808.359,74384.773,24657.23,617.702,583.406,37168.012,15375.788,1234.193,77316.094,0,3923.376,20786.77,18668.822,6857.282,12164.262,21043.662,19660.412,26044.17,6580.724,2985.232,3203.901,9969.967,24506.256,1614.757,61149.168,71473.977,54747.777,4376.178,433.122,2358.808,15733.968,13936.254,0,106317.938,77804.742,4348.83,4108.217,31180.088,3098.138,23435.645,9605.62,4982.866,31357.4,29287.125,25320.355,208014.688,19532.703,0,55933.996,458.821,7347.693,7662.386,3240.677,19642.783,88062.086,12810.415,2091.133,57585.082,25157.438,7788.496,51720.438,573.704,164802.547,35774.91,38467.918,2061.452,244.049,26075.314,635.443,34390.281,4962.682,2654.543,21698.678,62769.023,37506.699,6299.887,7440.846,978.381,54224.758,20207.6,1072.428,6831.24,140041.062,10039.691,21772.998,54433.586,23959.471,0,804.894,21840.365,134032.266,34043.488,78303.609,19084.248,18384.643,92570.039,2661.322,28562.709,10247.799,2769.04,1868.086,3202.072,3068.011
2018,924.251,14609.701,15971.084,29987.857,3366.393,33026.227,22163.16,15133.982,49515.113,65053.539,46196.625,17352.01,39876.789,142291.5,2628.243,25095.537,31686.135,62385.402,9546.048,2736.8,50863.379,23138.41,8088.342,21542.352,9597.184,16539.109,29075.836,122979.117,30743.451,950.387,290.769,3674.928,1941.542,7383.928,110439.844,42507.164,302.459,457.118,25039.641,27104.984,11332.247,1593.286,3605.274,28924.502,11726.931,443.118,2235.986,23593.492,9819.157,26633.77,46420.777,34702.457,3133.48,11557.899,10487.733,1714.814,12128.832,10327.142,6645.676,18711.834,876.149,58903.477,5823.577,823.583,57968.594,77010.266,9316.589,60528.164,43389.094,15735.306,0,8795.324,978.746,19383.402,45691.598,3112.291,0,30476.574,64539.719,10724.042,44438.316,5774.417,0,1122.1,719.81,12371.177,1325.532,5896.753,48595.906,27740.646,188294,6638.485,8056.51,36159.855,14547.464,38571.539,34554.734,30957.242,12335.036,42109.379,11233.428,42571.648,2047.272,2619.893,3773.798,67787.555,106538.172,11778.976,17858.32,22506.594,17677.684,2182.018,1122.469,31662.736,24675.344,76376.742,22952.039,579.6,542.385,37333.422,17020.91,1243.768,78729.375,0,4074.366,21929.627,18266.324,6882.262,13129.505,22486.172,21852.676,31185.535,6730.607,2383.024,3270.801,9675.655,28203.953,1753.601,59398.777,79704.047,53419.141,4282.387,460.168,2461.821,16154.689,14396.216,0,104010.867,81662.578,4419.168,4097.168,31255.303,3150.152,23139.457,9887.749,5063.134,31724.717,29903.955,25807.195,201997.984,0,19995.689,57892.727,491.126,7217.726,7236.438,22357.986,3149.711,10483.141,88573.469,66489.945,2541.635,9347.271,26481.451,45307.637,568.166,163485.734,35121.09,39123.293,2107.609,236.284,24785.197,671.758,34806.586,5206.926,2554.751,21688.73,59946.555,37754.48,7240.203,7761.816,56691.645,968.898,20784.785,1253.321,5979.639,128954.383,10208.622,21590.242,60428.902,23070.922,0,841.204,22768.459,125874.32,33820.566,80595.484,19538.711,117262.195,16643.918,3346.09,24404.24,11413.172,2171.494,1170.726,3494.537,3441.986
2019,802.613,11585.555,16259.053,30681.02,3667.424,33027.516,20725.168,16179.096,51107.844,66247.297,48194.07,18166.221,39636.066,155398.469,2914.894,25172.027,31919.717,64152.695,9883.737,2416.162,50639.293,27251.602,7903.12,20694.338,9467.984,16681.945,23027.121,120314.977,29996.502,946.957,309.341,4069.461,7077.256,1758.121,108410.719,50531.711,299.18,458.181,24894.514,28264.688,11221.787,1685.73,2873.82,29246.834,622.852,11486.324,2360.121,23200.729,9606.213,26442.418,45355.469,33825.047,2848.787,11049.87,11098.332,1702.919,12184.978,9951.896,7271.521,17644.693,936.479,47293.754,5780.252,921.991,70091.234,74932.953,9417.632,59219.324,42384.668,22791.225,10740.267,7427.662,972.668,19659.346,44436.824,3135.595,0,29968.463,62941.348,10655.754,44431.332,24672.211,982.067,1201.79,703.127,14184.612,1184.346,5640.568,45963.055,28131.205,175527.734,6736.512,8530.325,37705.781,15390.483,38267.508,35026.562,30464.064,15387.241,41382.203,11258.242,42588.301,1946.341,2592.433,3817.566,133508.5,94629.836,10582.124,18251.771,23394.699,18447.385,2188.859,1100.831,32421.873,24778.893,76273.703,23023.588,678.704,537.82,37824.059,18567.896,1231.715,80081.508,0,4149.229,22800.158,17919.082,6471.663,13488.875,24279.391,20460.551,30173.104,7267.464,2446.911,3197.22,9254.443,22405.49,1700.583,58878.891,79064.883,53172.613,4225.437,468.485,2482.832,16592.619,14690.129,0,96623.469,81070.859,4400.116,4185.992,27875.5,3159.517,19903.92,9949.322,5128.804,30843.25,28479.971,24532.93,207854.453,18417.541,19658.541,57430.348,525.573,8189.737,9829.213,3176.864,10512.177,86753.602,61996.32,2117.29,9376.506,25155.992,26602.787,45777.125,513.004,158475.062,33892.781,37863.648,2027.376,227.573,25577.125,747.486,33605.449,5221.115,2459.363,21629.324,60948.945,39174.781,6154.949,56081.582,991.198,956.226,20751.527,1304.058,6863.214,128426.539,10128.142,22150.566,56817.949,22899.154,0,811.628,21661.146,132339.578,32930.707,79500.234,281959.75,18162.375,16438.932,3154.472,22676.209,12556.66,3797.829,1475.985,2983.882,3003.655
