country,year,iso_code,region,population,energy_per_capita,total_energy,income_per_capita,gdp_per_capita,gdp,biofuel_share_energy,coal_share_energy,fossil_share_energy,gas_share_energy,hydro_share_energy,nuclear_share_energy,oil_share_energy,other_renewables_share_energy,renewables_share_energy,green_energy_share,solar_share_energy,wind_share_energy
Afghanistan,2020,AFG,Asia,38972236,702.888,27393117018,476.8990597,1832.527868,71417708544,,,,,,,,,,0,,
Albania,2020,ALB,Europe,2866850,11158.003,31988320901,4322.549675,11207.67598,32130725888,,,,,,,,,,0,,
Algeria,2020,DZA,Africa,43451668,14933.807,648898823740,2726.422747,12883.74016,559820000000,,0.235,99.7,66.806,0.02,0,32.659,0,0.3,0.3,0.277,0.003
Angola,2020,AGO,Africa,33428490,3527.16,117907632788,1100.962834,4556.263235,152309000000,,,,,,,,,,0,,
Argentina,2020,ARG,Americas,45036032,19314.059,869828579174,7211.541026,16338.33993,735814000000,1.109,1.151,84.789,50.506,7.147,2.9,33.132,0.807,12.31,15.21,0.406,2.841
Armenia,2020,ARM,Asia,2805610,17086.047,47936784324,3818.010299,11897.01267,33378377728,,,,,,,,,,0,,
Australia,2020,AUS,Oceania,25670052,61750.023,1585126301411,40036.44582,48003.79836,1232260000000,0.076,29.528,89.152,26.697,2.389,0,32.927,0.687,10.848,10.848,3.951,3.746
Austria,2020,AUT,Europe,8907780,44920.742,400144087173,39515.55741,40782.43962,363281000000,1.155,7.255,61.811,21.31,27.565,0,33.245,3.671,38.189,38.189,1.341,4.458
Azerbaijan,2020,AZE,Asia,10284952,17980.494,184928517726,3530.660537,15430.11577,158698000000,,0.002,98.105,66.873,1.519,0,31.229,0.173,1.895,1.895,0.067,0.136
Bahrain,2020,BHR,Asia,1477478,156095.797,230628105960,17191.26981,37183.18503,54937337856,,,,,,,,,,0,,
Bangladesh,2020,BGD,Asia,167420944,2731.388,457291557390,2290.392475,4505.75646,754358000000,,11.447,99.328,65.418,0.402,0,22.463,0.003,0.672,0.672,0.264,0.003
Barbados,2020,BRB,Americas,280704,21577.828,6056982631,14427.5489,10991.02417,3085224448,,,,,,,,,,0,,
Belarus,2020,BLR,Europe,9633745,29743.822,286544396473,5200.944075,18728.02321,180421000000,0,3.397,98.712,61.949,0.367,0.297,33.367,0.299,0.991,1.288,0.156,0.17
Belgium,2020,BEL,Europe,11561716,57431.945,664011837418,36801.28174,38709.1328,447544000000,1.133,4.206,76.067,25.599,0.106,13.069,46.262,2.533,10.863,23.932,2.022,5.07
Benin,2020,BEN,Africa,12643121,2518.621,31843230056,1093.885801,2312.644164,29239040000,,,,,,,,,,0,,
Bolivia,2020,BOL,Americas,11936169,6540.533,78068907238,2626.220705,5980.388976,71382933504,,,,,,,,,,0,,
Bosnia and Herzegovina,2020,BIH,Europe,3318410,19464.836,64592306431,5069.99918,12712.602,42185625600,,,,,,,,,,0,,
Botswana,2020,BWA,Africa,2546404,8843.107,22518123037,4563.263688,12963.5864,33010528256,,,,,,,,,,0,,
Brazil,2020,BRA,Americas,213196304,15921.327,3394368071175,5253.753204,13838.79525,2950380000000,7.254,4.806,50.263,9.258,30.669,1.043,36.2,5.524,48.693,49.736,0.832,4.414
Bulgaria,2020,BGR,Europe,6979181,27993.812,195373880828,8311.253957,17823.43802,124393000000,1.01,24.744,67.016,14.949,3.791,21.446,27.324,2.777,11.538,32.984,1.974,1.986
Burkina Faso,2020,BFA,Africa,21522632,878.982,18918006121,682.5431244,1582.865394,34067429376,,,,,,,,,,0,,
Burundi,2020,BDI,Africa,12220229,289.066,3532452716,154.9039514,706.6690171,8635657216,,,,,,,,,,0,,
Cambodia,2020,KHM,Asia,16396864,3918.637,64253357954,1357.812969,3671.795567,60205932544,,,,,,,,,,0,,
Cameroon,2020,CMR,Africa,26491090,1758.121,46574541642,1271.914323,2914.320925,77203537920,,,,,,,,,,0,,
Cape Verde,2020,CPV,Africa,582646,6949.681,4049203836,2509.054967,5803.054342,3381126400,,,,,,,,,,0,,
Canada,2020,CAN,Americas,37888704,100866.023,3821682889104,34953.03636,42813.2881,1622140000000,0.601,3.825,62.817,30.167,26.564,6.43,28.825,0.836,30.752,37.182,0.294,2.458
Central African Republic,2020,CAF,Africa,5343024,280.739,1499995215,369.2834445,692.1311018,3698073088,,,,,,,,,,0,,
Chad,2020,TCD,Africa,16644707,372.511,6200336449,455.8767589,1429.48413,23793344512,,,,,,,,,,0,,
Chile,2020,CHL,Americas,19300318,22925.926,442477662244,9756.161448,20294.32883,391687000000,,16.531,74.141,14.092,12.892,0,43.518,5.122,25.859,25.859,4.52,3.325
China,2020,CHN,Asia,1424929792,29119.828,41493710455116,7510.442656,16949.46666,24151800000000,0.066,56.4,83.696,8.112,8.366,2.224,19.183,1.043,14.08,16.304,1.653,2.953
Colombia,2020,COL,Americas,50930656,10064.389,512585934009,4578.598876,12219.85046,622365000000,1.616,9.263,70.99,25.601,25.535,0,36.126,1.757,29.01,29.01,0.098,0.005
Comoros,2020,COM,Africa,806168,1578.063,1272183893,1392.524051,1977.974139,1594579456,,,,,,,,,,0,,
Congo,2020,COG,Africa,5702183,2379.556,13568663771,770.8113306,3980.399103,22696964096,,,,,,,,,,0,,
Costa Rica,2020,CRI,Americas,5123107,11486.324,58845666889,10790.54254,13947.74081,71455768576,,,,,,,,,,0,,
Democratic Republic of Congo,2020,COD,Africa,92853168,443.812,41209350196,410.4973518,868.2305307,80617955328,,,,,,,,,,0,,
Cote d'Ivoire,2020,CIV,Africa,26811792,2282.348,61193839848,2126.8481,3968.291265,106397000000,,,,,,,,,,0,,
Croatia,2020,HRV,Europe,4096872,22304.447,91378464390,11828.05396,20765.44323,85073362944,0.835,4.597,73.995,32.139,16.274,0,37.259,3.676,26.005,26.005,0.274,4.945
