country,year,iso_code,region,population,energy_per_capita,income_per_capita,gdp_per_capita,gdp,biofuel_share_energy,coal_share_energy,fossil_share_energy,gas_share_energy,hydro_share_energy,nuclear_share_energy,oil_share_energy,other_renewables_share_energy,renewables_share_energy,solar_share_energy,wind_share_energy
Afghanistan,2010,AFG,Asia,28189672,1182.892,506.922384,1681.446453,47399424000,,,,,,,,,,,
Afghanistan,2011,AFG,Asia,29249156,1436.114,568.5774105,1823.175205,53326336000,,,,,,,,,,,
Afghanistan,2012,AFG,Asia,30466484,1324.121,607.6121178,1942.032439,59166900224,,,,,,,,,,,
Afghanistan,2013,AFG,Asia,31541216,1060.793,598.8995846,1997.186754,62993698816,,,,,,,,,,,
Afghanistan,2014,AFG,Asia,32716214,868.576,577.2601844,1966.795666,64346107904,,,,,,,,,,,
Afghanistan,2015,AFG,Asia,33753500,970.08,550.24136,1860.05581,62783393792,,,,,,,,,,,
Afghanistan,2016,AFG,Asia,34636212,862.791,485.7922294,1858.523554,64372215808,,,,,,,,,,,
Afghanistan,2017,AFG,Asia,35643420,829.312,498.0412212,1828.367789,65169281024,,,,,,,,,,,
Afghanistan,2018,AFG,Asia,36686788,924.251,467.2860344,1798.923868,65996738560,,,,,,,,,,,
Afghanistan,2019,AFG,Asia,37769496,802.613,469.4777601,1935.045843,73085706240,,,,,,,,,,,
Afghanistan,2020,AFG,Asia,38972236,702.888,476.8990597,1832.527868,71417708544,,,,,,,,,,,
